Strongs:Number	Strongs:Lemma	Strongs:Origin	Strongs:Root	Strongs:RootLemma	|
G1	ἄν		G1	ἄν	|
G2	Ἀαρών	H175	G2	Ἀαρών	|
G3	Ἀβαδδών	H11	G3	Ἀβαδδών	|
G4	ἀβαρής	G1+G922	G1+G939+G939	ἄν+βάσις+βάσις	|
G5	Ἀββᾶ	H2	G5	Ἀββᾶ	|
G6	Ἄβελ	H1893	G6	Ἄβελ	|
G7	Ἀβιά	H29	G7	Ἀβιά	|
G8	Ἀβιαθάρ	H54	G8	Ἀβιαθάρ	|
G9	Ἀβιληνή	H58	G9	Ἀβιληνή	|
G10	Ἀβιούδ	H31	G10	Ἀβιούδ	|
G11	Ἀβραάμ	H85	G11	Ἀβραάμ	|
G12	ἄβυσσος	G1+G1037	G1+G939	ἄν+βάσις	|
G13	Ἄγαβος	H2285	G13	Ἄγαβος	|
G14	ἀγαθοεργέω	G18+G2041	G18+G2041	ἀγαθός+ἔργον	|
G15	ἀγαθοποιέω	G17	G18+G4160	ἀγαθός+ποιέω	|
G16	ἀγαθοποιΐα	G17	G18+G4160	ἀγαθός+ποιέω	|
G17	ἀγαθοποιός	G18+G4160	G18+G4160	ἀγαθός+ποιέω	|
G18	ἀγαθός		G18	ἀγαθός	|
G19	ἀγαθωσύνη	G18	G18	ἀγαθός	|
G20	ἀγαλλίασις	G21	G242	ἅλλομαι	|
G21	ἀγαλλιάω	G242	G242	ἅλλομαι	|
G22	ἄγαμος	G1+G1062	G1+G1062	ἄν+γάμος	|
G23	ἀγανακτέω	G43	G43	ἀγκάλη	|
G24	ἀγανάκτησις	G23	G43	ἀγκάλη	|
G25	ἀγαπάω	H5689	G25	ἀγαπάω	|
G26	ἀγάπη	G25	G25	ἀγαπάω	|
G27	ἀγαπητός	G25	G25	ἀγαπάω	|
G28	Ἄγαρ	H1904	G28	Ἄγαρ	|
G29	ἀγγαρεύω	H104	G29	ἀγγαρεύω	|
G30	ἀγγεῖον	G43	G43	ἀγκάλη	|
G31	ἀγγελία	G32	G71	ἄγω	|
G32	ἄγγελος	G71	G71	ἄγω	|
G33	ἄγε	G71	G71	ἄγω	|
G34	ἀγέλη	G71+G32	G71+G71	ἄγω+ἄγω	|
G35	ἀγενεαλόγητος	G1+G1075	G1+G1096+G3004	ἄν+γίνομαι+λέγω	|
G36	ἀγενής	G1+G1085	G1+G1096	ἄν+γίνομαι	|
G37	ἁγιάζω	G40	G53+G2282	ἁγνός+θάλπω	|
G38	ἁγιασμός	G37	G53+G2282	ἁγνός+θάλπω	|
