Ref	Idx	Greek	Editions	TAGNT-Idx	SBL:Idx	SBL:TAGNT-Idx	NA28:Idx	NA28:TAGNT-Idx	RP05:Idx	RP05:TAGNT-Idx	|
Mat.1.5	@1:1	Βόες	SBL WH NA28 NA27 NIV	@5	@5	@5	@5	@5			|
Mat.1.5	@1:2	Βόες	SBL WH NA28 NA27 NIV	@9	@9	@9	@9	@9			|
Mat.1.5	@1:3	Βοὸς	Treg								|
Mat.1.5	@1:4	Βοὸς	Treg								|
Mat.1.5	@1:5	Βοὸζ	RP TR	@5					@5	@5	|
Mat.1.5	@1:6	Βοὸζ	RP TR	@9					@9	@9	|
Mat.1.5	@2:1	Ἰωβὴδ	SBL WH Treg NA28 NA27 NIV	@13	@13	@13	@13	@13			|
Mat.1.5	@2:2	Ἰωβὴδ	SBL WH Treg NA28 NA27 NIV	@17	@17	@17	@17	@17			|
Mat.1.5	@2:3	Ὠβὴδ	RP TR	@13					@13	@13	|
Mat.1.5	@2:4	Ὠβὴδ	RP TR	@17					@17	@17	|
Mat.1.6	@1:1	δὲ	SBL WH Treg RP NA28 NA27 NIV TR	@9	@9	@9	@9	@9	@9	@9	|
Mat.1.6	@1:2	ὁ	RP TR	@10					@10	@10	|
Mat.1.6	@1:3	βασιλεὺς	RP TR	@11					@11	@11	|
Mat.1.7	@1:1	Ἀσάφ	SBL WH Treg NA28 NA27	@15	@15	@15	@15	@15			|
Mat.1.7	@1:2	Ἀσὰφ	SBL WH Treg NA28 NA27	Mat.1.8#1	Mat.1.8#1	Mat.1.8#1	Mat.1.8#1	Mat.1.8#1			|
Mat.1.7	@1:3	Ἀσά	RP NIV TR	@15					@15	@15	|
Mat.1.7	@1:4	Ἀσὰ	RP NIV TR	Mat.1.8#1					Mat.1.8#1	Mat.1.8#1	|
Mat.1.10	@1:1	Ἀμώς	SBL WH Treg NA28 NA27	@10	@10	@10	@10	@10			|
Mat.1.10	@1:2	Ἀμὼς	SBL WH Treg NA28 NA27	@11	@11	@11	@11	@11			|
Mat.1.10	@1:3	Ἀμών	RP NIV TR	@10					@10	@10	|
Mat.1.10	@1:4	Ἀμὼν	RP NIV TR	@11					@11	@11	|
Mat.1.18	@1:1	Ἰησοῦ	SBL WH RP NA28 NA27 NIV TR	@3	@3	@3	@3	@3	@3	@3	|
